binary,given_name,surname,date_of_birth,phone_number,email,address,city,state,zipcode,constant_2,uniform corr 2,corr_feature_class,min max scaling,duplicate_2,random choice 2,target,semi_constant_1,multicollinearity 2,pd qcut3,random label num 14,semi_constant_2,pd qcut1,outliers 1,informative_2,multicollinearity 1,random choice 4,informative_1,outliers 2,constant_1,correlated w target 1,random choice 7,multicollinearity 3,duplicate_1,uniform corr 1,random label num 4,pd qcut2,correlated w target 2,multicollinearity 4,standard scaling,class
,,Ferguson,1983-02-17,(209)992-7083,williamsjennifer@example.net,289 Brown Coves Suite 743,East Scott,FM,57754,constant_value,0.8502157692379699,0.677876166851171,225.5251741589659,-0.6638599972813359,Rand Choice 2,-0.9042236742875387,q_const_0,-1.418422018571562,G4,label num hi 12,q_const_0,Low,1.5752235467929248,-0.6638599972813359,-1.9714082650114388,North,-0.9991017824896424,,constant_value,,,-0.7781606195663604,-0.9991017824896424,0.09256727282726479,,Q2,,,45008.53730118044,1
binary_1,Samantha,Benjamin,1971-03-18,+1-992-978-9172x116,jimmysmith@example.net,129 Diaz Court Apt. 691,Lake Kevinview,AL,96672,constant_value,0.47840980788743703,2.2567816179783966,161.99865814950843,1.153596854135379,Rand Choice 2,2.324369783092482,q_const_0,0.5605987958672216,G5,label num hi 2,q_const_0,,-0.33965659203701887,1.153596854135379,-0.14502825532438973,North,1.2466861830450993,,constant_value,-1.9805696043622971,Tuesday,0.26149064432716307,1.2466861830450993,0.668092781582631,label num lo 4,Q3,-0.3373318107353558,,64940.50962609911,1
binary_2,Mark,Martin,1961-10-05,001-605-544-8978x9761,costaricky@example.net,,,,,constant_value,0.9278336933112652,,570.3642465554116,0.8593974662590766,Rand Choice 2,1.7782165547025084,q_const_0,-1.1547676756150569,G5,label num hi 12,q_const_0,High,1.2499122722690361,0.8593974662590766,-0.8801441251577609,North,0.9627768269601935,3.5769515985657594,constant_value,-2.085298158726644,,-0.9991508609282272,0.9627768269601935,0.06964995295895496,,Q3,-3.7070681725416934,,33549.3308011159,1
binary_1,Amber,Wood,1927-03-05,001-626-250-9762,,9911 Anne Field Apt. 214,North Joshuaview,AZ,39034,constant_value,0.7482290369349196,0.36682817353058605,55.326706747918536,2.0336452879154674,Rand Choice 1,5.451234575139656,q_const_0,-0.07761868825510103,G6,label num hi 8,q_const_0,High,1.4681182308192047,2.0336452879154674,0.1241635521903308,West,-2.9574409509433037,,constant_value,7.396826728505661,Friday,-0.09402994187052056,-2.9574409509433037,0.9688988497024906,,Q4,,,41603.32054360046,1
binary_1,Christine,Rodriguez,1919-12-14,001-688-295-6682x07678,jpatterson@example.org,1933 Brenda Glens,Raymondside,SC,43505,constant_value,,2.5150105130419855,336.3512583854137,1.05944863351561,Rand Choice 2,2.1539258469951807,q_const_0,-0.9463448811235844,,label num hi 8,q_const_0,,-0.9574259911484696,1.05944863351561,-0.30708015679390654,East,1.1411652716579705,,constant_value,0.7507892352350705,,,1.1411652716579705,0.3125441415611902,label num lo 1,Q3,0.8413491450236122,-0.5237233831025162,,1
,,Garcia,1991-12-15,2677791201,pedro75@example.com,,,,,constant_value,0.8217787865219581,4.649700270807053,289.0944804229471,2.399635889224372,Rand Choice 1,4.626787069235546,q_const_0,,,label num hi 1,q_const_0,High,1.0962961833102183,2.399635889224372,-0.007851424082732131,North,2.485477863898728,0.524291233109524,constant_value,,,-0.3994758871020685,2.485477863898728,0.9567110820013554,label num lo 3,Q4,5.445861473852904,,,1
binary_2,Harry,Mcbride,1978-05-23,(294)341-3062x865,vwarren@example.com,12747 Kelly Grove Apt. 875,North Deannaside,KY,73106,constant_value,0.8759202592759996,1.1849811920082742,243.81223354512218,-0.747560845179044,Rand Choice 1,-1.187224231921867,q_const_0,-0.532012480581915,G3,label num hi 12,q_const_0,Low,0.024085282640178885,-0.747560845179044,-0.3663129478888363,East,-0.6479636736717482,,constant_value,4.215654744446804,,-0.5045990387579578,-0.6479636736717482,0.6610252180235182,,Q2,1.4876310687460523,-0.7884912835691466,,0
binary_1,Mackenzie,Doyle,2014-10-14,341-780-8281x096,,884 Williams Garden,Jenniferside,MT,05549,constant_value,0.2337840391942737,2.598363720656915,351.0420886009431,-0.8182224427035356,Rand Choice 1,-1.266374292198878,q_const_0,,G3,label num hi 2,q_const_0,Low,-0.008444336861535597,-0.8182224427035356,-0.3143129445507965,North,-0.8922328125534437,1.8336078798754576,constant_value,-1.2100245126157805,,-0.21740258062884857,-0.8922328125534437,0.4427246640353086,,Q2,1.2073667695815378,-1.152063464233777,52580.63096521473,0
binary_1,Melanie,Faulkner,1955-07-26,577.936.1699x8183,,972 Rachel Heights Apt. 043,East William,AR,50921,constant_value,0.6450088638358243,3.613348475047472,264.66634215043814,-0.09154666780661158,Rand Choice 2,0.24111056261580832,q_const_0,0.9326875808544725,G4,label num hi 9,q_const_0,High,0.15058786901341562,-0.09154666780661158,0.7598438109348717,West,-0.7273359834485558,,constant_value,-0.4395951726880726,,-0.02483105864375706,-0.7273359834485558,0.3992722279209657,label num lo 4,Q3,-0.2754564309513208,0.06741331524861624,40257.32703024525,0
binary_1,Andrea,Edwards,1999-10-05,2468103953,ftrujillo@example.com,07785 Seth Park,Hartmanhaven,NM,46472,constant_value,0.3646777776801611,-4.123308151085061,291.55064490905056,-1.8069333466532713,Rand Choice 2,-3.935564389564147,q_const_0,-1.2979456481093565,G1,label num hi 12,q_const_0,Low,1.1475544604100862,-1.8069333466532713,-0.30520058282931406,East,0.9753643211025785,,constant_value,-1.5927716326354866,,-0.5725180523447336,0.9753643211025785,0.1317155102358974,,Q1,-3.467365227819949,,44437.89398103322,0
,Anthony,Abbott,1979-10-31,623-402-5834,jconley@example.com,27224 Nash View,Lake Stephanieside,AZ,60421,constant_value,0.6323776893665684,5.05387951531744,241.0990286471527,0.6640066001907508,Rand Choice 2,1.4902846231827178,q_const_0,0.20791237623725334,,label num hi 6,q_const_0,High,-0.008365795058036913,0.6640066001907508,0.5052811677472246,West,0.5210909070320509,,constant_value,,Wednesday,-0.03279918586098462,0.5210909070320509,0.8105513452738835,label num lo 1,Q3,,,59454.135849909,1
binary_1,Jessica,Khan,1975-02-07,534.898.3632x5504,,82878 Moore Center Suite 100,,NH,44235,constant_value,0.7390262788149707,3.2068735095324667,,1.0453063757400651,Rand Choice 2,2.077177886048961,q_const_0,0.508443381460564,,label num hi 11,q_const_0,High,0.6324774794704441,1.0453063757400651,-0.32814305229409435,West,1.298410809303382,,constant_value,6.24487559276731,,-0.4166952235806127,1.298410809303382,0.7261702954303106,label num lo 1,Q3,0.6339255661287109,-0.1890676864857566,,1
binary_1,Jessica,Mooney,,778-382-3988,njones@example.net,5961 Veronica Circles,North Christopherhaven,MI,92118,constant_value,0.4432658989038838,-0.3560105258764348,271.45045094921215,-0.21730425574735168,Rand Choice 2,-0.04039569818845051,q_const_0,-0.7464445475681541,G4,label num hi 14,q_const_0,Low,0.24859186528183716,-0.21730425574735168,0.6181659009833702,West,-0.6860766332166293,,constant_value,-1.2204132500216591,Sunday,,-0.6860766332166293,0.8065678088145777,label num lo 4,Q2,-1.1463943043937395,-0.0782954203377837,,0
binary_1,Stephanie,Williams,1925-06-14,629-428-5999,emorse@example.org,6969 Tina Light Suite 331,Lake Suemouth,MT,39466,constant_value,0.7948969192080255,7.015081381842763,171.243889539142,2.7119608896597107,Rand Choice 2,5.165736554096395,q_const_0,0.12789371550906223,,label num hi 12,q_const_0,High,-1.2152759280055467,2.7119608896597107,0.2665019468763574,East,2.9251395877620867,,constant_value,4.442091508079554,Thursday,-2.1284213051808076,2.9251395877620867,,,Q4,,-1.816761823440584,51840.097027158474,1
binary_2,,Thompson,2019-01-13,211-773-0519,zbaker@example.net,5445 Douglas Mountain,Kyleville,MH,79392,constant_value,0.8706628895756905,,334.103290619487,1.646367141258015,Rand Choice 2,3.1919319238247565,q_const_0,-2.8087019205000052,G6,label num hi 13,q_const_0,High,1.5337476036462951,1.646367141258015,-1.62426554539337,West,1.882030027039841,6.4357475168176315,constant_value,4.692286509724254,Friday,0.21648213804644545,1.882030027039841,0.9478434745624914,,Q4,,0.6849075421920924,54783.76872282168,1
binary_1,Marissa,Palmer,1972-08-10,(307)872-1559x1977,,981 John Ports,East Jasmine,PR,95606,constant_value,0.916683822861184,0.23948700079308693,133.51618195832987,1.0474848470309324,Rand Choice 2,2.16415341226954,q_const_0,-1.3250151644016648,G5,label num hi 3,q_const_0_2,,-0.45361442694649684,1.0474848470309324,-1.8595009095204182,South,1.0198391116840506,,constant_value,,Saturday,-0.5906001944604878,1.0198391116840506,0.902528555969385,,Q3,0.028971146537137393,-0.24533264569909882,23926.145557264645,1
,Jorge,Butler,1911-09-02,(787)660-8550x89491,blarsen@example.net,,,,,constant_value,0.044441981344830066,3.042492200714427,180.91125349585755,-0.8983006964065531,Rand Choice 1,-1.5917313144198164,q_const_0,0.7828763273413453,G3,label num hi 8,q_const_0,Low,-0.6098431152360589,-0.8983006964065531,1.4839259162393483,East,-0.3714869425311782,,constant_value,0.3569707810741012,Saturday,1.4615053371199498,-0.3714869425311782,0.18912720315394133,label num lo 4,Q2,-3.570098629336832,1.1180185745381763,59396.227662997844,0
binary_1,Tiffany,Johnson,1931-04-21,944-288-7495,douglas15@example.net,514 William Street,,OH,96282,constant_value,0.8684045357090218,1.35089297482256,200.43890220865856,1.5115778404585067,Rand Choice 2,4.171443967670781,q_const_0,0.4904372707388969,G6,label num hi 4,q_const_0,High,0.39242140885097787,1.5115778404585067,1.858218982365768,North,-2.409975872086312,5.1568870678968555,constant_value,2.5673568006894683,,,-2.409975872086312,0.9906297298735158,,Q4,5.084912340512009,0.3017822202463726,57008.90320733605,1
binary_2,Ray,Jones,2022-10-04,472-885-4833,daverichards@example.org,03662 Watson Trafficway,North Jeremyland,TX,16532,constant_value,0.5653595334490031,2.0257465241171797,287.50125598852213,0.4724066441252236,Rand Choice 2,1.0711718257205494,q_const_0,,G5,label num hi 5,q_const_0,High,-1.7265459548168798,0.4724066441252236,-0.9794917864147085,South,0.5508509886724762,,constant_value,,Saturday,-0.9597763562254913,0.5508509886724762,0.7719309256643627,,Q3,0.0033072573623592616,-1.1042986396193344,,0
binary_1,,Kim,1912-05-17,418.671.6445x5418,ncantrell@example.com,052 Angela Row Apt. 838,Jesseview,SD,18167,constant_value,0.5551821229835217,1.9223245684160113,310.873128676168,1.8961937668539977,Rand Choice 2,4.663571335859559,q_const_0,-0.3375678691042953,G6,label num hi 3,q_const_0,High,0.05493785970116564,1.8961937668539977,-0.031054387596721366,South,-1.287894198500732,4.708353711453087,constant_value,4.411551565306771,,1.571960373127682,-1.287894198500732,0.842205061064714,,Q4,3.983499157359438,,,1
,,Hunter,1936-05-09,001-691-313-6377,hmeadows@example.net,67844 Rachel Manors Apt. 884,South Marcus,MO,91818,constant_value,0.1802822319535185,1.0332076504137397,282.689906526359,-0.41349414144382024,Rand Choice 1,-0.05917940201608718,q_const_0,,,label num hi 12,q_const_0,,-0.29978383333129044,-0.41349414144382024,0.5039354085226748,South,-2.044462049230024,1.5579748780723803,constant_value,1.1224446881923733,Tuesday,-0.41571491915543984,-2.044462049230024,0.6676150833408976,,Q2,-0.23856807956298295,-0.6758089120011569,41586.20628460872,1
binary_2,,Parker,1972-03-02,,david10@example.com,,,,,constant_value,0.644080532544173,1.5295347714651946,,-1.3398820467032777,Rand Choice 2,-2.385582206089156,q_const_0,0.556173314008301,,label num hi 8,q_const_0,Low,0.7180931943766071,-1.3398820467032777,,South,-0.8852896287436569,,constant_value,,,0.2585997868668808,-0.8852896287436569,0.7608754366449304,label num lo 2,Q1,,,52328.29640222624,0
